"id","name","price","type","categories","X","Y","geometry"
"QUPAXavtWd6LKnvsWV6ywQ","Detroit Shipping Company","$$","restaurant","Beer Gardens/Food Court",-83.0614602688644,42.3440190774265,c(-83.0614602688644, 42.3440190774265)
"YToERl_vqJFwbvWTOI7XFw","Detroit 75 Kitchen","$$","restaurant","Food Trucks/American/Sandwiches",-83.09453,42.31082,c(-83.09453, 42.31082)
"yRhM23WYVMS1lYenbVjr8A","Ima Izakaya","$$","restaurant","Izakaya",-83.0753548,42.331633547648,c(-83.0753548, 42.331633547648)
"YzaGq6tIR4pGdc7BGPh78w","Bangkok 96 Street Food","$$","fast casual","Asian Fusion/Thai/Food Stands",-83.06156,42.34422,c(-83.06156, 42.34422)
"uj0R7Wvdww5H84kp5q955A","Motz’s Burgers","$","fast casual","Burgers",-83.11348,42.30272,c(-83.11348, 42.30272)
"3WGrIVHVZ4RqI1-ptJsJqw","SuperCrisp","$$","fast casual","Fast Food/Burgers/Halal",-83.06575,42.35553,c(-83.06575, 42.35553)
"N-IqK4uOoJvS1lpM4wc6OA","Lorent Coney Island","N/A","fast casual","Hot Dogs/Breakfast & Brunch/Diners",-83.1628272682428,42.2850932258945,c(-83.1628272682428, 42.2850932258945)
"rwCtf0txoy3Ow1CocE4x5A","Duly's Place","$","fast casual","Breakfast & Brunch/Hot Dogs/Sandwiches",-83.10176,42.3181299,c(-83.10176, 42.3181299)
"65pRcC4awElAnzH4io9Chw","Batch Brewing Company","$$","fast casual","New American/Brewpubs",-83.0632939479199,42.3283429981483,c(-83.0632939479199, 42.3283429981483)
"F5n71dADAgUqYPOqFkQg9Q","Rocco's Italian Deli","$$","fast casual","Italian/Sandwiches/Salad",-83.06157,42.3464699,c(-83.06157, 42.3464699)
"rlVtDsEPA381dqaKiBIR-g","Dollar Tree","$","dollar store","Discount Store",-83.1077118,42.3158417,c(-83.1077118, 42.3158417)
"zH08yPMLolctafRrV_3UqQ","Nice Price","$","dollar store","Discount Store",-83.1029396,42.3176485,c(-83.1029396, 42.3176485)
"XijgOBgrV-xHN-NitOPKjQ","Dollar Center","$","dollar store","Discount Store",-83.1969000399113,42.343913075069,c(-83.1969000399113, 42.343913075069)
"LAddWQMZN4OGivXPht4KfQ","Artloft Midtown","N/A","dollar store","Home Decor/Accessories/Arts & Crafts",-83.0632317,42.3504197,c(-83.0632317, 42.3504197)
"aHfAwGkuI04Y37igatvqIg","Dollar Tree - Joy Rd","N/A","dollar store","Discount Store/Cosmetics & Beauty Supply/Home Decor",-83.2229801639915,42.3573680851911,c(-83.2229801639915, 42.3573680851911)
"QxRjZ21tKoCpdGthKDpLwA","City Bird","$$","dollar store","Arts & Crafts/Home Decor/Jewelry",-83.0650050938129,42.3515988886356,c(-83.0650050938129, 42.3515988886356)
"rJ0WoXiKfWFrShiEB66jdA","99 Cents Store","N/A","dollar store","Cosmetics & Beauty Supply/Drugstores",-83.2311281,42.3433449,c(-83.2311281, 42.3433449)
"2onGCrIvV6kcH6yfIFcCNg","D & D Moving & Storage","N/A","dollar store","Movers/Self Storage/Packing Supplies",-83.0063980000001,42.3665824589244,c(-83.0063980000001, 42.3665824589244)
"OuBpaoOCzRVyUY0SS6NR1w","Family Dollar","N/A","dollar store","Discount Store",-83.1417313,42.3312988,c(-83.1417313, 42.3312988)
"CW9qAcghS-SlTu_NVsqCVw","John K King Used & Rare Books","$","dollar store","Used Bookstore",-83.0570839358188,42.3275766291389,c(-83.0570839358188, 42.3275766291389)
"p2zYjkjIYL_kyu8m1r-QaA","Tubby's","N/A","fast food","Sandwiches/Fast Food/Burgers",-83.1628273,42.2851325921568,c(-83.1628273, 42.2851325921568)
"z_Xl1wZbVk5L7i7_DIbqJA","Telway Hamburgers","$","fast food","Burgers/Sandwiches",-83.12787,42.33139,c(-83.12787, 42.33139)
"NpfZaYIxspPgqUW5VSWMfw","Chick-fil-A","$","fast food","Fast Food/Chicken Shop/Salad",-83.056419,42.351406,c(-83.056419, 42.351406)
"wUO4TOHCf4k_hSrvDKkQjg","Gus's World Famous Fried Chicken","$","fast food","Chicken Shop/Southern/Comfort Food",-83.0675116873058,42.3479938640664,c(-83.0675116873058, 42.3479938640664)
"ZvOxMJyonxPyh0BsNY7LfQ","Pollo Chapin","$","fast food","Mexican/Latin American",-83.10257,42.31946,c(-83.10257, 42.31946)
"JRnZ-E7JoeUehXBx6BDf6g","McDonald's","$","fast food","Burgers/Fast Food/Coffee & Tea",-83.120869,42.30328,c(-83.120869, 42.30328)
"jua4XimqQNAxYjYsyM8r9Q","Savvy Sliders","N/A","fast food","Burgers/Chicken Shop/Breakfast & Brunch",-83.0622,42.35475,c(-83.0622, 42.35475)
"SwHGw7BSL1BsX8Avak87rw","Marathon Gas","N/A","gas station","Gas Stations",-83.1651239,42.287899,c(-83.1651239, 42.287899)
"4bt4IhLNG6biTn1AEtFkxg","Mobil","$$","gas station","Gas Stations/Convenience Stores",-83.0739673710864,42.3339253038231,c(-83.0739673710864, 42.3339253038231)
"4hrFH37p1iYYlQXsMrwkGw","Total Fuel Stop","N/A","gas station","Gas Stations",-83.15943,42.27043,c(-83.15943, 42.27043)
"c6cdrxVA6xfhtO2Y3BQLzQ","Marathon","N/A","gas station","Gas Stations",-83.069809,42.331131,c(-83.069809, 42.331131)
"lfEbCIvb6c_YGXT7ZQz0lw","Bam's Bp","$$","gas station","Convenience Stores/Gas Stations",-83.2240905761719,42.3292121887207,c(-83.2240905761719, 42.3292121887207)
"nhz3tIFYYWgYkzcW3qK3rA","Shell","N/A","gas station","Gas Stations",-83.0632128740018,42.3543003,c(-83.0632128740018, 42.3543003)
"UFGoCirWNe65-lVsrvuDzg","Marathon","N/A","gas station","Gas Stations",-83.123803,42.336768,c(-83.123803, 42.336768)
"9AGFEH30lkWnknrowaOYYw","Citgo - Mexican town Deli","$","gas station","Gas Stations/Delis",-83.095873,42.319888,c(-83.095873, 42.319888)
"UxOCQjXO_C5TXcY4b3aKfQ","Zaben Venture","N/A","gas station","Gas Stations",-83.1164807081223,42.3156230896711,c(-83.1164807081223, 42.3156230896711)
"BidXVtZSrbeECQUaFHx1nw","Trumbell Fill Up","N/A","gas station","Gas Stations",-83.0790863037109,42.352222442627,c(-83.0790863037109, 42.352222442627)
"36lWjRy3X2ZFXiSWuaxpWQ","Valero","N/A","gas station","Gas Stations",-83.124123,42.312892,c(-83.124123, 42.312892)
"R1psudq9O_q0B9h-JcbLDg","Downtown Detroit Gas","N/A","gas station","Gas Stations",-83.0620804,42.3246803,c(-83.0620804, 42.3246803)
"1S9psC-qGzpe2ayrik8AbQ","Shell","N/A","gas station","Gas Stations/Convenience Stores",-83.2152099609375,42.3436546325684,c(-83.2152099609375, 42.3436546325684)
"E9vfikY3eE-Y4hFy_KSMwg","7-Eleven","N/A","gas station","Convenience Stores/Coffee & Tea/Gas Stations",-83.0724439,42.356038277576,c(-83.0724439, 42.356038277576)
"DWDJUSzMP6BqL_gl8wrneQ","Valero","N/A","gas station","Gas Stations",-83.1301422119141,42.343936920166,c(-83.1301422119141, 42.343936920166)
"xy9-2NU807Ia_MtfqqdqRg","Big Al's Marathon","N/A","gas station","Gas Stations",-83.07725,42.34413,c(-83.07725, 42.34413)
"-BMqXcpbHzaMsJurVSFo-w","Jorgenson Ford","N/A","gas station","Car Dealers",-83.1397629,42.3228912,c(-83.1397629, 42.3228912)
"OlCtDrWPnuP9ufUWUymvPA","Rivertown Market","$$","grocery store","Grocery",-83.0326010726445,42.3343981089389,c(-83.0326010726445, 42.3343981089389)
"UKOSS1XgEGZtnsWeAUeo6w","City Market","$$","grocery store","Beer/ Wine & Spirits/Grocery/Meat Shops",-83.0419388,42.3314743,c(-83.0419388, 42.3314743)
"pXSMo7-LFcWBNWvIXaVlMQ","Wally's","$","grocery store","Grocery",-83.0474301,42.3293402,c(-83.0474301, 42.3293402)
"EY8pHNgfQ27Xcmqf5aFkLw","Eve's Market","$","grocery store","Grocery/Beer/ Wine & Spirits",-83.0513149,42.3341096,c(-83.0513149, 42.3341096)
"-TBFdNXoI3UlnSHA6v6APw","Marcus Market","$","grocery store","Beer/ Wine & Spirits/Grocery",-83.0638923288355,42.3509660017304,c(-83.0638923288355, 42.3509660017304)
"wg99H8l_zbvFE8EnA95zdg","Lafayette Foods","$$","grocery store","Grocery",-83.03223,42.33879,c(-83.03223, 42.33879)
"ECRdQ0IYMY_sQTi2ojxKYA","Algo Especial Super Mercado","N/A","grocery store","Grocery",-83.0785522,42.3254051,c(-83.0785522, 42.3254051)
