id,name,price,type,latitude,longitude,categories
1UQm4Ek6ZVK0uC_ugkiM1w,Vernor Express Liquor Store,$$$,grocery store,42.3221512,-83.0901108,"Beer, Wine & Spirits"
66OeH9RD62D3bXbqefjYvw,Giovanni's Ristorante,$$$,restaurant,42.2903220548957,-83.1459120674591,Italian
x4KLlXkaZtrBL2Gq8qUyMA,The Butcher's Grille,$$,restaurant,42.303332,-83.255635,Middle Eastern/Steakhouses/Halal
TaKAWbdHN4nDljQSgsgPaw,Pine Coast ,N/A,restaurant,42.320727,-83.180339,Cafes/American
cuemikopY0jp622-5_FRDg,Ford's Garage,$$,restaurant,42.3071919657309,-83.2377644771623,Burgers/Beer Bar/Desserts
tfCSDMnDEdWPOoBPk6jqog,Roman Village Cucina Italiana,$$,restaurant,42.3058,-83.14436,Italian/Pizza/Wine Bars
5Il4NYoAi0_McQ67vyoUAg,Mint 29,$$$,restaurant,42.306409,-83.244348,Bars/Steakhouses/Venues & Event Spaces
s8x1eRJyIKX0xrjNLTFG7w,The Himalayan Flames,$$,restaurant,42.305171,-83.249325,Himalayan/Nepalese/Indian
rQQTp6dRnFghbUsYMdwhqQ,The Spot Truk,N/A,restaurant,42.32732929037101,-83.15743412101901,Food Trucks/Tacos/Burgers
DP8mtOJKiVV5oZ3Q2Ayotg,Sexy Steak,N/A,restaurant,42.33502,-83.05498,Steakhouses/Halal/Cocktail Bars
f5yuQxsMide91X85YdRj1A,Mad Nice,$$$,restaurant,42.3491,-83.06496,Italian
3Nbs9f7DxP3siSu1pjLj1w,Takoi,$$,restaurant,42.3316432369511,-83.0808343566223,Thai/Pan Asian/Cocktail Bars
vc0b_C98tLSje73pgtlhWA,Bierkeller,$$,restaurant,42.2273889954604,-83.2306288182735,German/American/Bars
oCwO_05Tn2ruZDkytewnIw,Sheeba Restaurant,$$,restaurant,42.32076,-83.17959,Middle Eastern/Halal
dFKgdbvZGtoE_TiELSdb2g,Sabina's Restaurant,$$,restaurant,42.281120300293,-83.1867752075195,Polish
4p1bXdMdETmyU5qhzFxNxw,Selden Standard,$$,restaurant,42.34779,-83.06499,New American/Sandwiches
UdO_uBm3sIM5DwaE8XIpbg,Grey Ghost Detroit,$$$,restaurant,42.3451704384376,-83.0555171146989,American/Beer Bar/Cocktail Bars
cXxHJRI2NHAWUv_N1g-K-Q,Major Tomato,$$,restaurant,42.258247,-83.2077879,Pizza/Salad/Italian
k8ZwQVBv7xpsDGgODG0BhQ,BARDA Detroit,$$$,restaurant,42.3485,-83.08786,Bars/Argentine
TJ_POk8hrMCE5u3On8M1FQ,M Cantina,$$,restaurant,42.32351658096256,-83.1727398,Mexican/Juice Bars & Smoothies/Latin American
